trknum,CreateDate,ProductName,Topic,Subtopic,Platform,PageCount
7612379809,05MAR2018:20:41:03.893,SAS University Edition Basic vApp,update,,win10,1
7612440969,10MAY2018:04:54:21.360,SAS University Edition Basic vApp,no meaningful topic,,win10,4
7612275159,07NOV2017:22:32:39.547,External Web,SAS profile,profile creation error,web browser,7
7612407493,03APR2018:13:14:34.797,SAS OnDemand for Academics,no meaningful topic,,,3
7612400753,26MAR2018:18:40:41.173,SAS Viya Trial,sas visual analytics,,,28
7612486431,30JUN2018:01:54:09.577,External Web,SAS profile,password reset,web browser,4
7612556402,14SEP2018:04:52:15.537,SAS University Edition Basic vApp,usage,refered to communities,win10,5
7612556825,14SEP2018:14:01:32.177,SAS University Edition Basic vApp,download,,linux x64,7
7612549623,06SEP2018:22:10:25.703,SAS University Edition Basic vApp,virtualbox,settings,linux x64,2
7612524340,11AUG2018:18:18:26.250,SAS Ondemand for Academics: Control Center,registration,r&d assistance,linux x64,4
7612393685,19MAR2018:15:04:37.803,External Web,SAS profile,,,4
7612492124,06JUL2018:23:59:28.657,SAS University Edition Basic vApp,error,other,mac x64,8
7612511231,27JUL2018:19:55:54.287,SAS University Edition Basic vApp,update,,mac x64,4
7612308310,13DEC2017:18:02:16.397,SAS University Edition Basic vApp,error,other,mac x64,1
7612571685,28SEP2018:20:22:27.717,External Web,SAS profile,activation e-mail,web browser,4
7612299535,04DEC2017:17:47:48.943,SAS University Edition Basic vApp,error,,win10,14
7612527040,15AUG2018:06:23:56.633,External Web,SAS profile,password reset,web browser,4
7612345135,29JAN2018:16:39:04.583,SAS University Edition Basic vApp,error,other,mac x64,4
7612285929,17NOV2017:14:52:44.430,External Web,SAS profile,email update/change,web browser,8
7612454484,24MAY2018:23:55:41.370,SAS University Edition Basic vApp,update,,winx64,4
7612571675,28SEP2018:20:13:43.647,SAS Ondemand for Academics: Control Center,outage,r&d assistance,linux x64,2
7612539745,28AUG2018:19:37:53.593,SAS Ondemand for Academics: Control Center,log on,r&d assistance,linux x64,7
7612540301,29AUG2018:09:49:05.203,SAS University Edition Basic vApp,download,,win10,6
7612319545,02JAN2018:12:58:21.713,SAS Enterprise Miner,configuration,,win10,23
7612364444,17FEB2018:14:11:20.520,SAS OnDemand for Academics,outage,,win10,4
7612292381,27NOV2017:13:40:56.803,SAS Viya Trial,log on,,,5
7612377788,02MAR2018:17:46:47.720,SAS OnDemand for Academics: SAS Studio,no meaningful topic,,,6
7612389929,14MAR2018:18:05:42.543,SAS University Edition Basic vApp,shared folder,,mac x64,4
7612506184,23JUL2018:17:36:53.997,SAS University Edition Basic vApp,error,,win10,3
7612519958,07AUG2018:12:51:44.523,e-Learning,Technical Problem,r&d assistance,win7,1
7612416091,11APR2018:21:21:48.370,SAS OnDemand for Academics: Enterprise Miner,performance,r&d assistance,win10,8
7612395213,20MAR2018:15:52:02.313,SAS University Edition Basic vApp,error,bios,winx64,7
7612402140,27MAR2018:18:21:36.120,SAS University Edition Basic vApp,download,,win10,4
7612487145,02JUL2018:12:50:59.523,SAS Ondemand for Academics: Control Center,log on,,,4
7612292947,27NOV2017:19:20:51.580,SAS Viya Trial,log on,,,4
7612272412,05NOV2017:03:32:30.357,SAS Ondemand for Academics: Control Center,usage,,,6
7612468136,11JUN2018:12:47:58.880,SAS University Edition Basic vApp,error,other,,5
7612286106,17NOV2017:17:09:02.933,SAS University Edition Basic vApp,error,other,mac x64,26
7612486741,02JUL2018:02:58:46.637,SAS University Edition Basic vApp,download,,win10,7
7612512875,30JUL2018:22:16:03.467,External Web,SAS profile,password reset,web browser,13
7612520214,07AUG2018:15:42:44.647,External Web,SAS profile,password reset,web browser,2
7612571559,28SEP2018:18:42:27.347,SAS Ondemand for Academics: Control Center,log on,r&d assistance,linux x64,4
7612565482,24SEP2018:18:55:49.353,SAS Viya Trial,log on,,,10
7612500030,16JUL2018:21:29:58.483,External Web,SAS profile,password reset,web browser,7
7612467716,11JUN2018:02:19:49.780,SAS University Edition Basic vApp,download,,,4
7612461426,04JUN2018:03:02:20.863,SAS Ondemand for Academics: Control Center,usage,r&d assistance,,11
7612480230,25JUN2018:05:57:11.917,SAS OnDemand for Academics: SAS Studio,instructor data,r&d assistance,web browser,15
7612565791,25SEP2018:01:54:06.670,SAS University Edition Basic vApp,virtualbox,,win10,2
7612558902,17SEP2018:20:48:37.290,SAS University Edition Basic vApp,usage,,linux x64,7
7612546735,05SEP2018:14:30:28.970,External Web,SAS profile,password reset,web browser,5
7612419628,16APR2018:18:20:49.493,SAS University Edition Basic vApp,error,,mac x64,1
7612298759,04DEC2017:03:13:17.043,External Web,SAS profile,password reset,web browser,5
7612572024,30SEP2018:15:15:05.293,SAS University Edition Basic vApp,virtualbox,settings,mac x64,4
7612451729,22MAY2018:21:13:45.447,SAS University Edition Basic vApp,error,other,win10,3
7612572065,30SEP2018:21:40:15.317,SAS OnDemand for Academics,outage,,win10,3
7612412934,09APR2018:14:15:30.593,SAS University Edition Basic vApp,error,,,3
7612541937,30AUG2018:14:19:30.600,SAS University Edition Basic vApp,error,other,mac x64,5
7612547967,06SEP2018:13:27:50.747,External Web,SAS profile,password reset,web browser,4
7612477614,20JUN2018:22:55:50.790,SAS University Edition Basic vApp,virtualbox,bios,win10,8
7612464876,06JUN2018:19:00:06.020,SAS University Edition Basic vApp,virtualbox,bios,win10,4
7612547911,06SEP2018:12:48:49.030,External Web,SAS profile,password reset,web browser,7
7612571927,29SEP2018:22:38:00.733,SAS Ondemand for Academics: Control Center,log on,r&d assistance,linux x64,2
7612392759,17MAR2018:10:00:43.187,External Web,SAS profile,activation e-mail,,2
7612548492,06SEP2018:15:31:51.343,External Web,SAS profile,profile creation,web browser,6
7612571947,30SEP2018:02:11:02.203,SAS OnDemand for Academics,outage,dashboard,win10,5
7612572068,30SEP2018:22:00:07.540,SAS OnDemand for Academics,outage,,win10,2
7612273200,06NOV2017:15:33:07.997,SAS University Edition Basic vApp,error,,win7,4
7612553660,11SEP2018:22:47:28.593,SAS University Edition Basic vApp,usage,refered to faqs,linux x64,4
7612534817,23AUG2018:11:20:14.890,SAS University Edition Basic vApp,download,,windows,4
7612304803,09DEC2017:13:35:10.507,SAS OnDemand for Academics,outage,workspace,,9
7612373694,27FEB2018:16:28:42.910,SAS University Edition Basic vApp,,,,5
7612516146,02AUG2018:11:50:03.257,External Web,SAS profile,activation e-mail,web browser,4
7612392733,17MAR2018:05:15:39.063,SAS University Edition Basic vApp,download,,winx64,4
7612464615,06JUN2018:16:24:48.263,SAS University Edition Basic vApp,no meaningful topic,,mac x64,5
7612324818,08JAN2018:15:55:51.750,External Web,SAS profile,password reset,,4
7612349450,01FEB2018:16:51:46.353,SAS Viya Trial,sas visual analytics,,,6
7612285307,16NOV2017:21:21:57.077,SAS University Edition Basic vApp,virtualbox,bios,win7,2
7612392698,16MAR2018:23:17:34.037,SAS OnDemand for Academics,log on,,win10,7
7612337271,20JAN2018:22:35:05.080,SAS University Edition Basic vApp,error,other,win10,9
7612324718,08JAN2018:14:57:16.117,SAS University Edition Basic vApp,error,other,mac x64,5
7612291637,24NOV2017:22:50:39.390,External Web,SAS profile,password reset,web browser,2
7612425219,23APR2018:09:48:41.157,SAS Viya Trial,log on,,,13
7612515681,01AUG2018:22:31:47.480,SAS University Edition Basic vApp,error,other,win10,4
7612566306,25SEP2018:13:36:56.027,External Web,SAS profile,profile creation,web browser,6
7612565949,25SEP2018:07:25:52.013,SAS University Edition Basic vApp,error,other,win10,8
7612477539,20JUN2018:21:02:49.377,SAS University Edition Basic vApp,download,,winx64,7
7612571913,29SEP2018:20:10:35.290,SAS University Edition Basic vApp,download,,mac x64,4
7612341298,24JAN2018:19:55:21.730,External Web,SAS profile,activation e-mail,,4
7612418676,15APR2018:23:05:56.463,External Web,SAS profile,activation e-mail,web browser,4
7612521165,08AUG2018:12:10:08.167,SAS Ondemand for Academics: Control Center,log on,,,5
7612485048,28JUN2018:17:39:37.223,SAS Viya Trial,sas python client interface for viya,,,5
7612392454,16MAR2018:17:48:24.113,SAS University Edition Basic vApp,virtualbox,,win7,5
7612584961,14OCT2018:04:41:56.573,Base SAS,usage,other,win10,4
7612412239,08APR2018:10:20:15.620,External Web,SAS profile,activation e-mail,web browser,4
7612581891,10OCT2018:15:42:35.317,SAS OnDemand for Academics: Enterprise Miner,usage,,win10,4
7612384691,08MAR2018:21:35:21.190,SAS University Edition Basic vApp,virtualbox,settings,win10,1
7612493248,09JUL2018:17:54:11.773,SAS Ondemand for Academics: Control Center,log on,r&d assistance,,5
7612561106,19SEP2018:15:20:48.030,External Web,SAS profile,multiple profiles,web browser,8
7612527831,15AUG2018:20:29:15.460,External Web,SAS profile,activation e-mail,web browser,8
7612425663,23APR2018:15:25:40.557,SAS University Edition Basic vApp,download,,winx64,5
7612554465,12SEP2018:14:55:59.120,SAS Solutions OnDemand,login problem,,windows,19
7612451800,23MAY2018:00:03:03.067,External Web,SAS profile,activation e-mail,web browser,4
7612561105,19SEP2018:15:20:40.693,SAS University Edition Basic vApp,usage,refered to faqs,win10,4
7612411913,06APR2018:20:23:59.080,SAS University Edition Basic vApp,error,other,mac x64,8
7612425909,23APR2018:18:25:36.850,SAS Ondemand for Academics: Control Center,log on,r&d assistance,,1
7612304486,08DEC2017:18:50:22.670,e-Learning,Activation/Access Problem,,win10,3
7612533867,22AUG2018:16:07:38.643,SAS OnDemand for Academics: SAS Studio,configuration,r&d assistance,web browser,10
7612547606,06SEP2018:07:31:43.663,SAS OnDemand for Academics,log on,,win10,4
7612311057,16DEC2017:04:38:30.967,External Web,SAS profile,password reset,web browser,3
7612527842,15AUG2018:20:39:11.580,External Web,SAS profile,activation e-mail,web browser,4
7612527394,15AUG2018:14:45:37.630,e-Learning,Content question,,,4
7612547025,05SEP2018:17:40:13.230,SAS University Edition Basic vApp,update,,mac x64,4
7612573286,01OCT2018:21:09:47.340,External Web,SAS profile,activation e-mail,web browser,3
7612310905,15DEC2017:20:21:32.980,SAS Universal Viewer,installation,electronic software download (ESD),winx64,1
7612277661,09NOV2017:19:29:26.847,SAS OnDemand for Academics: Enterprise Miner,defect,,win10,14
7612405611,30MAR2018:19:55:51.953,SAS OnDemand for Academics: Enterprise Miner,usage,,,4
7612594436,23OCT2018:23:55:46.767,SAS University Edition Basic vApp,usage,,linux x64,10
7612534338,22AUG2018:21:47:43.530,External Web,SAS profile,password reset,web browser,4
7612284372,16NOV2017:08:00:11.583,SAS OnDemand for Academics,outage,,,3
7612411778,06APR2018:18:18:43.993,External Web,SAS profile,activation e-mail,web browser,4
7612375692,01MAR2018:03:59:00.800,SAS OnDemand for Academics,configuration,,win10,6
7612547378,05SEP2018:23:56:52.017,SAS University Edition Basic vApp,shared folder,,windows,4
7612493323,09JUL2018:18:44:55.300,SAS OnDemand for Academics,instructor data,,win10,4
7612267380,30OCT2017:16:22:19.653,External Web,SAS profile,password reset,web browser,4
7612537055,26AUG2018:23:04:11.717,SAS Ondemand for Academics: Control Center,log on,,linux x64,4
7612339363,23JAN2018:14:29:05.287,SAS Viya Trial,log on,,,5
7612464009,06JUN2018:07:34:05.250,SAS OnDemand for Academics: SAS Studio,performance,r&d assistance,web browser,6
7612345667,29JAN2018:22:34:12.710,External Web,SAS profile,password reset,web browser,4
7612543366,31AUG2018:16:47:53.757,External Web,SAS profile,profile creation,web browser,4
7612530358,18AUG2018:16:24:14.913,External Web,SAS profile,password reset,web browser,4
7612558550,17SEP2018:16:31:59.603,SAS OnDemand for Academics,usage,,win10,7
7612379310,05MAR2018:15:48:18.970,SAS University Edition Basic vApp,error,other,win10,3
7612345720,29JAN2018:23:47:10.040,SAS Studio,installation,,win10,3
7612543547,31AUG2018:19:43:59.037,SAS University Edition Basic vApp,virtualbox,settings,win10,11
7612537070,27AUG2018:00:03:23.467,External Web,SAS profile,password reset,web browser,2
7612558471,17SEP2018:15:28:40.247,SAS OnDemand for Academics: Enterprise Miner,java,,win10,1
7612403667,28MAR2018:23:20:47.283,SAS OnDemand for Academics,usage,,,2
7612523165,09AUG2018:22:52:02.190,SAS University Edition Basic vApp,update,,winx64,4
7612410493,05APR2018:16:52:18.007,External Web,SAS profile,,,6
7612564281,22SEP2018:18:56:06.647,SAS OnDemand for Academics: SAS Studio,configuration,,web browser,4
7612551029,09SEP2018:17:53:58.927,External Web,SAS profile,activation e-mail,web browser,4
7612503738,19JUL2018:19:28:52.873,SAS University Edition Basic vApp,error,other,mac x64,4
7612358109,11FEB2018:15:01:10.200,SAS OnDemand for Academics,outage,workspace,win10,4
7612564263,22SEP2018:17:07:05.283,SAS OnDemand for Academics,instructor data,,win8.1,11
7612443953,14MAY2018:15:24:02.767,External Web,SAS profile,password reset,web browser,4
7612457256,29MAY2018:17:45:03.960,e-Learning,Interest,,windows,1
7612563736,21SEP2018:14:58:04.080,SAS Ondemand for Academics: Control Center,interest,,linux x64,4
7612397189,22MAR2018:05:09:24.810,SAS University Edition Basic vApp,error,other,win10,13
7612326988,10JAN2018:07:06:53.327,SAS OnDemand for Academics,performance,,win10,8
7612423623,19APR2018:22:36:20.477,External Web,SAS profile,profile creation error,web browser,6
7612423703,20APR2018:02:33:25.057,SAS University Edition Basic vApp,shared folder,,win10,22
7612536730,24AUG2018:20:38:17.957,SAS University Edition Basic vApp,download,,win10,4
7612543646,31AUG2018:22:47:59.643,External Web,SAS profile,password reset,web browser,7
7612358157,11FEB2018:16:41:27.397,SAS Ondemand for Academics: Control Center,outage,r&d assistance,,4
7612551015,09SEP2018:14:51:56.160,External Web,SAS profile,activation e-mail,web browser,4
7612444009,14MAY2018:15:52:35.393,SAS University Edition Basic vApp,error,other,win10,3
7612580893,09OCT2018:19:02:21.200,External Web,SAS profile,password reset,web browser,4
7612551059,09SEP2018:21:35:02.003,SAS Viya Trial,log on,,,4
7612416771,12APR2018:14:24:25.123,SAS University Edition Basic vApp,error,other,winx64,3
7612536487,24AUG2018:17:27:27.537,SAS University Edition Basic vApp,usage,refered to communities,win7,8
7612371437,25FEB2018:12:44:44.360,External Web,SAS profile,,,6
7612552080,10SEP2018:17:22:05.767,SAS Ondemand for Academics: Control Center,log on,r&d assistance,linux x64,1
7612461916,04JUN2018:13:48:31.967,SAS OnDemand for Academics,log on,,,6
7612418063,13APR2018:15:24:09.443,SAS OnDemand for Academics: Enterprise Miner,usage,,,10
7612545841,04SEP2018:20:06:44.593,SAS Ondemand for Academics: Control Center,log on,r&d assistance,linux x64,5
7612545611,04SEP2018:17:10:09.760,SAS Ondemand for Academics: Control Center,log on,r&d assistance,linux x64,4
7612539454,28AUG2018:16:54:30.990,e-Learning,Outage,,win10,6
7612391095,15MAR2018:16:32:14.950,SAS OnDemand for Academics,no meaningful topic,,win7,23
7612532867,21AUG2018:19:47:20.097,External Web,SAS profile,profile creation,web browser,4
7612268162,31OCT2017:11:56:34.927,SAS Solutions OnDemand,SSOD to TS Ambassador,,,4
7612321399,03JAN2018:17:56:08.053,e-Learning,Sample data/practice files,,win7,24
7612532388,21AUG2018:14:12:39.570,SAS OnDemand for Academics: SAS Studio,performance,r&d assistance,web browser,8
7612346945,30JAN2018:20:20:23.920,SAS OnDemand for Academics: SAS Studio,performance,r&d assistance,winx64,10
7612468806,11JUN2018:21:14:45.897,SAS OnDemand for Academics: Enterprise Miner,usage,,linux x64,4
7612274771,07NOV2017:17:56:11.727,SAS Solutions OnDemand,SSOD to TS Ambassador,,,28
7612377874,02MAR2018:18:46:38.663,SAS University Edition Basic vApp,error,other,mac x64,4
7612436542,04MAY2018:21:00:16.510,SAS Viya Trial,log on,,,6
7612474863,18JUN2018:18:45:56.450,SAS University Edition Basic vApp,download,,win10,10
7612404786,29MAR2018:22:44:07.350,SAS Profitability Management,SAS profile,,linux x64,5
7612340113,23JAN2018:22:29:03.777,External Web,SAS profile,,,4
7612300977,05DEC2017:19:18:29.800,SAS University Edition Basic vApp,virtualbox,settings,win10,6
7612360501,13FEB2018:19:39:59.050,e-Learning,Activation/Access Problem,,,4
7612377819,02MAR2018:18:04:55.050,SAS University Edition Basic vApp,virtualbox,,win7,4
7612300948,05DEC2017:19:01:50.410,SAS University Edition Basic vApp,inquiry/interest,,,1
7612307273,12DEC2017:19:32:21.443,SAS OnDemand for Academics: SAS Studio,usage,,,9
7612364831,19FEB2018:09:11:03.240,External Web,SAS profile,activation e-mail,web browser,5
7612397903,22MAR2018:16:55:40.643,SAS OnDemand for Academics: Enterprise Miner,installation,r&d assistance,win10,4
7612449350,19MAY2018:20:53:49.387,External Web,SAS profile,activation e-mail,web browser,4
7612281431,14NOV2017:14:13:08.000,SAS University Edition Basic vApp,virtualbox,bios,win10,3
7612287590,20NOV2017:15:51:53.130,SAS Viya,no meaningful topic,,,8
7612507860,24JUL2018:22:48:57.277,SAS OnDemand for Academics: SAS Studio,performance,,web browser,4
7612321212,03JAN2018:15:57:28.647,SAS OnDemand for Academics: Enterprise Miner,java,r&d assistance,win10,23
7612267620,30OCT2017:18:53:29.213,SAS OnDemand for Academics: Enterprise Miner,outage,,,5
7612462320,04JUN2018:18:37:31.660,External Web,SAS profile,password reset,web browser,4
7612487601,02JUL2018:19:05:57.250,SAS University Edition Basic vApp,error,other,mac x64,11
7612424613,20APR2018:20:23:41.293,SAS University Edition Basic vApp,download,,,3
7612354138,06FEB2018:22:35:57.247,SAS University Edition Basic vApp,inquiry/interest,,mac x64,4
7612386089,10MAR2018:15:56:20.073,SAS OnDemand for Academics,outage,dashboard,win10,4
7612386076,10MAR2018:15:00:19.363,SAS OnDemand for Academics,outage,,,7
7612472792,15JUN2018:04:17:55.480,SAS University Edition Basic vApp,shared folder,,mac x64,6
7612452924,23MAY2018:19:10:15.613,External Web,SAS profile,email update/change,web browser,6
7612447204,17MAY2018:08:42:56.047,External Web,SAS profile,activation e-mail,web browser,17
7612556300,13SEP2018:23:54:49.310,SAS University Edition Basic vApp,download,,mac x64,7
7612550218,07SEP2018:13:33:40.550,SAS University Edition Basic vApp,usage,refered to communities,mac x64,1
7612568411,26SEP2018:23:01:36.930,SAS OnDemand for Academics,outage,dashboard,win10,3
7612562792,20SEP2018:17:20:00.913,SAS University Edition Basic vApp,update,,mac x64,4
7612269066,01NOV2017:03:09:52.633,External Web,SAS profile,activation e-mail,web browser,4
7612308637,13DEC2017:21:58:45.667,SAS OnDemand for Academics: SAS Studio,usage,,win10,3
7612556192,13SEP2018:20:19:47.000,SAS University Edition Basic vApp,error,other,windows,11
7612563122,20SEP2018:22:48:35.800,SAS University Edition Basic vApp,usage,refered to communities,win10,5
7612386058,10MAR2018:13:52:18.310,SAS OnDemand for Academics,outage,dashboard,win10,2
7612543802,02SEP2018:01:05:24.037,External Web,SAS profile,activation e-mail,web browser,4
7612479782,22JUN2018:20:22:31.997,SAS Ondemand for Academics: Control Center,log on,,,4
7612459997,31MAY2018:21:17:42.033,SAS University Edition Basic vApp,error,other,win10,3
7612485879,29JUN2018:13:52:30.917,External Web,SAS profile,profile creation error,web browser,5
7612549615,06SEP2018:22:00:57.027,External Web,SAS profile,activation e-mail,web browser,4
7612440383,09MAY2018:17:32:16.620,SAS OnDemand for Academics,log on,,,2
7612511340,28JUL2018:00:23:56.153,External Web,SAS profile,password reset,web browser,4
7612400685,26MAR2018:18:08:00.933,SAS University Edition Basic vApp,shared folder,,win10,4
7612530981,20AUG2018:12:19:56.873,SAS Ondemand for Academics: Control Center,registration,,linux x64,4
7612342116,25JAN2018:14:32:26.567,SAS University Edition Basic vApp,usage,refered to communities,win10,5
7612288910,21NOV2017:14:39:24.290,External Web,SAS profile,activation e-mail,web browser,4
7612562752,20SEP2018:16:57:54.603,External Web,SAS profile,password reset,web browser,4
7612335695,18JAN2018:18:31:04.227,SAS University Edition Basic vApp,error,other,mac x64,7
7612486259,29JUN2018:18:57:57.443,External Web,SAS profile,activation e-mail,web browser,3
7612568749,27SEP2018:08:46:55.677,Miscellaneous,no meaningful topic,,windows,4
7612556297,13SEP2018:23:45:56.067,SAS Solutions OnDemand,login problem,,linux x64,14
7612479565,22JUN2018:16:40:00.893,SAS University Edition Basic vApp,update,,win8.1,1
7612308245,13DEC2017:16:55:48.320,External Web,SAS profile,password reset,web browser,4
7612275243,08NOV2017:01:01:51.787,SAS University Edition Basic vApp,error,other,,4
7612421085,17APR2018:21:06:57.277,SAS University Edition Basic vApp,virtualbox,settings,mac x64,1
7612406543,02APR2018:16:02:54.773,SAS University Edition Basic vApp,shared folder,,win10,4
7612444412,14MAY2018:21:50:45.410,SAS University Edition Basic vApp,download,,winx64,15
7612318598,29DEC2017:07:01:39.637,SAS OnDemand for Academics: Enterprise Miner,java,,win10,4
7612285487,17NOV2017:02:42:31.350,External Web,SAS profile,password reset,web browser,4
7612541752,30AUG2018:11:45:28.750,External Web,SAS profile,password reset,web browser,7
7612502417,18JUL2018:19:03:18.123,SAS University Edition Basic vApp,error,other,win10,5
7612450963,22MAY2018:10:43:52.003,SAS OnDemand for Academics: Enterprise Miner,configuration,r&d assistance,win10,4
7612458654,30MAY2018:19:43:44.903,External Web,SAS profile,activation e-mail,web browser,4
7612535040,23AUG2018:14:23:27.540,External Web,SAS profile,password reset,web browser,4
7612566624,25SEP2018:16:06:46.860,SAS University Edition Basic vApp,error,other,win10,4
7612451380,22MAY2018:16:11:52.080,e-Learning,Technical Problem,r&d assistance,win10,4
7612535412,23AUG2018:19:00:39.080,SAS OnDemand for Academics,options,,win10,4
7612278802,10NOV2017:20:22:13.050,SAS University Edition Basic vApp,virtualbox,,win10,14
7612522686,09AUG2018:15:24:34.113,SAS Ondemand for Academics: Control Center,log on,,linux x64,4
7612419370,16APR2018:15:08:16.467,SAS University Edition Basic vApp,error,other,winx64,4
7612324163,07JAN2018:14:57:34.243,SAS University Edition Basic vApp,error,other,winx64,4
7612285083,16NOV2017:18:35:00.663,SAS University Edition Basic vApp,shared folder,,win10,2
7612464413,06JUN2018:14:15:07.067,SAS University Edition Basic vApp,download,,mac x64,8
7612292337,27NOV2017:13:04:44.603,External Web,SAS profile,profile creation error,web browser,4
7612387520,12MAR2018:21:53:04.117,SAS University Edition Basic vApp,error,bios,win10,4
7612431713,30APR2018:16:26:13.297,e-Learning,Sample data/practice files,r&d assistance,windows,2
7612291823,26NOV2017:09:40:16.193,SAS University Edition Basic vApp,error,,win10,15
7612272633,06NOV2017:04:10:56.563,SAS OnDemand for Academics: SAS Studio,,,mac os,4
7612541218,29AUG2018:22:04:15.770,Miscellaneous,no meaningful topic,,win10,4
7612572064,30SEP2018:21:40:07.240,SAS OnDemand for Academics,outage,,hp itanium,4
7612278814,10NOV2017:20:35:30.940,External Web,SAS profile,profile creation error,web browser,1
7612387551,12MAR2018:22:40:45.867,SAS University Edition Basic vApp,virtualbox,,win10,4
7612547980,06SEP2018:13:34:00.617,Curriculum Pathways,quick launch,,win10,17
7612349227,01FEB2018:15:05:14.653,External Web,SAS profile,password reset,web browser,6
7612368945,22FEB2018:06:48:49.350,SAS University Edition Basic vApp,error,bios,win10,4
7612451382,22MAY2018:16:14:31.913,SAS University Edition Basic vApp,error,bios,win10,4
7612324260,08JAN2018:02:34:40.417,SAS University Edition Basic vApp,update,,winx64,4
7612349671,01FEB2018:19:33:18.037,SAS Viya Trial,,,,7
7612459159,31MAY2018:08:39:58.150,SAS University Edition Basic vApp,error,other,winx64,28
7612509591,26JUL2018:13:24:15.177,SAS University Edition Basic vApp,update,,mac x64,11
7612541386,30AUG2018:03:58:20.730,SAS University Edition Basic vApp,inquiry/interest,,mac x64,8
7612338792,23JAN2018:00:04:24.410,SAS University Edition Basic vApp,virtualbox,,win10,1
7612358033,11FEB2018:09:17:07.513,SAS Ondemand for Academics: Control Center,outage,r&d assistance,,4
7612345343,29JAN2018:18:51:09.853,SAS University Edition Basic vApp,installation,,win10,4
7612558808,17SEP2018:19:30:52.737,SAS OnDemand for Academics: Enterprise Miner,no meaningful topic,,win10,11
7612441635,10MAY2018:17:08:42.847,SAS OnDemand for Academics: SAS Studio,usage,,web browser,4
7612455049,25MAY2018:14:00:28.703,SAS University Edition Basic vApp,no meaningful topic,,mac x64,1
7612441688,10MAY2018:18:03:30.813,SAS OnDemand for Academics: Enterprise Guide,configuration,r&d assistance,win8,4
7612364431,17FEB2018:13:23:19.573,SAS OnDemand for Academics,outage,,,4
7612505906,23JUL2018:14:36:27.040,SAS Visual Analytics - Workgroup,SSO Administration,,linux x64,3
7612454967,25MAY2018:13:08:49.100,SAS University Edition Basic vApp,error,other,mac x64,6
7612448067,17MAY2018:20:35:58.167,SAS University Edition Basic vApp,virtualbox,,win10,4
7612580369,09OCT2018:13:31:38.640,SAS Ondemand for Academics: Control Center,log on,,linux x64,1
7612539775,28AUG2018:19:59:03.610,SAS University Edition Basic vApp,virtualbox,settings,mac x64,1
7612331628,15JAN2018:16:11:31.857,SAS OnDemand for Academics,registration,,,5
7612571082,28SEP2018:12:34:28.097,External Web,SAS profile,activation e-mail,web browser,7
7612539663,28AUG2018:18:36:40.057,SAS University Edition Basic vApp,error,other,mac x64,5
7612352246,05FEB2018:17:06:03.847,SAS University Edition Basic vApp,error,other,mac x64,4
7612279896,13NOV2017:15:45:31.010,SAS University Edition Basic vApp,error,other,mac x64,9
7612546182,05SEP2018:04:59:19.860,Miscellaneous,no meaningful topic,,win10,2
7612435189,03MAY2018:17:10:57.747,SAS University Edition Basic vApp,download,,,5
7612401873,27MAR2018:15:42:57.633,SAS University Edition Basic vApp,error,other,,5
7612558719,17SEP2018:18:20:11.370,SAS University Edition Basic vApp,usage,refered to faqs,windows,2
7612358015,11FEB2018:08:02:03.687,SAS OnDemand for Academics,outage,dashboard,win10,4
7612357293,09FEB2018:15:02:31.373,SAS Viya Trial,log on,,,4
7612500010,16JUL2018:21:00:23.820,SAS Ondemand for Academics: Control Center,log on,,,1
7612358024,11FEB2018:08:26:03.987,SAS Ondemand for Academics: Control Center,outage,r&d assistance,,4
7612473630,15JUN2018:21:18:22.983,e-Learning,Interest,,,1
7612319810,02JAN2018:13:22:18.850,External Web,SAS profile,profile creation error,,10
7612383191,07MAR2018:19:56:13.547,SAS University Edition Basic vApp,error,other,winx64,6
7612416256,12APR2018:03:15:34.210,External Web,SAS profile,password reset,web browser,5
7612422974,19APR2018:14:04:21.350,SAS OnDemand for Academics: Enterprise Guide,no meaningful topic,,win10,7
7612395780,21MAR2018:00:49:01.613,SAS University Edition Basic vApp,virtualbox,,,6
7612357837,10FEB2018:01:14:34.923,External Web,SAS profile,activation e-mail,web browser,3
7612364337,16FEB2018:22:11:27.983,External Web,SAS profile,password reset,web browser,1
7612571565,28SEP2018:18:45:27.797,External Web,SAS profile,password reset,web browser,3
7612356652,08FEB2018:21:21:09.333,External Web,SAS profile,activation e-mail,web browser,7
7612317121,25DEC2017:18:41:13.320,SAS University Edition Basic vApp,error,other,win10,12
7612356898,09FEB2018:05:47:17.217,External Web,SAS profile,,,4
7612483209,27JUN2018:13:07:15.220,SAS OnDemand for Academics,outage,dashboard,,6
7612592233,22OCT2018:13:24:15.533,,,,,3
7612482915,27JUN2018:07:26:14.447,External Web,SAS profile,activation e-mail,web browser,4
7612556003,13SEP2018:17:49:00.203,SAS Enterprise Miner,input data source,usage,win10,9
7612363553,16FEB2018:08:34:55.020,External Web,SAS profile,profile creation error,,4
7612502269,18JUL2018:17:12:41.600,SAS University Edition Basic vApp,virtualbox,,win10,1
7612483021,27JUN2018:09:23:09.657,SAS OnDemand for Academics,log on,,windows,7
7612591514,21OCT2018:07:50:28.847,External Web,SAS profile,activation e-mail,web browser,3
7612535504,23AUG2018:20:12:07.023,SAS University Edition Basic vApp,virtualbox,bios,windows,4
7612542274,30AUG2018:18:09:53.637,SAS University Edition Basic vApp,error,bios,win10,4
